,pelicula_id,overview,clstr_b,clstr_a
4592,10391,"When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter she has always longed for. But six years later Jenna suddenly re-enters her life and, with her mysterious new husband, Eric Stark, abducts Cody. Despite the fact that Maggie has no legal rights to Cody, FBI agent John Travis, takes up her cause when he realizes that Cody shares the same birth date as several other recently missing children.",2.0,2.0
4629,12211,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",2.0,2.0
4630,12211,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",2.0,2.0
4631,12211,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",2.0,2.0
4637,10685,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.",2.0,2.0
4649,12212,"The making of a horror movie takes on a terrifying reality for students at the most prestigious film school in the country in 'Urban Legends: Final Cut', the suspenseful follow up to the smash hit 'Urban Legend'. At Alpine University, someone is determined to win the best film award at any cost - even if it means eliminating the competition. No one is safe and everyone is a suspect. 'Urban Legends: Final Cut' is an edge-of-your-seat thriller that will keep you guessing until the shocking climax.",2.0,2.0
4708,10461,"Remake of the Michael Caine classic. Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the death of his brother was not accidental, but a murder. With this knowledge, Carter sets out to kill all those responsible.",2.0,2.0
4716,10763,"Dr. Sullivan Travis is a man at the top of his game, a rich and successful Dallas gynecologist whose ""religion"" is women. Dr. T. worships women. In his immediate family and in his office, they surround him. He is loving and giving to each and every one at all times -- he is their savior. And sure enough, as in the story of Job, one day a higher force decides to test his faith. Once a man in complete control of his universe, Dr. T. now finds himself buffeted by chaos and confusion.",2.0,2.0
4719,10383,"A small group of Catholics led by an ailing priest believe that Satan intends to become man, just as God did in the person of Jesus. The writings of a possessed mental patient lead them to Peter Kelson, a writer who studies serial killers. They think it's his body Satan will occupy. The youngest in the group, a teacher named Maya Larkin, goes to Peter to investigate further and to convince him to believe in the possibility of Evil incarnate. Other signs come to him as he and Maya them take a journey full of strange occurrences, self-discovery, and an ultimate showdown",2.0,2.0
4742,11531,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.",2.0,2.0
4743,11531,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.",2.0,2.0
4744,11531,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.",2.0,2.0
4746,10783,"Russ Richards is a TV weatherman and local celebrity on the verge of losing his shirt. Desperate to escape financial ruin, he schemes with Crystal the TV station's lotto ball girl to rig the state lottery drawing. The numbers come up right, but everything else goes wrong as the plan starts to unravel and the game turns rough.",2.0,2.0
4780,11849,"The classic role-playing game comes to life in this magical adventure. The empire of Izmer is a divided land: Elite magicians called Mages rule while lowly commoners are powerless. When Empress Savina (Thora Birch) vows to bring equality and prosperity to her land, the evil Mage Profion (Jeremy Irons) plots to depose her. But this good-vs.-evil battle is no game!",2.0,2.0
4781,11849,"The classic role-playing game comes to life in this magical adventure. The empire of Izmer is a divided land: Elite magicians called Mages rule while lowly commoners are powerless. When Empress Savina (Thora Birch) vows to bring equality and prosperity to her land, the evil Mage Profion (Jeremy Irons) plots to depose her. But this good-vs.-evil battle is no game!",2.0,2.0
4782,11849,"The classic role-playing game comes to life in this magical adventure. The empire of Izmer is a divided land: Elite magicians called Mages rule while lowly commoners are powerless. When Empress Savina (Thora Birch) vows to bring equality and prosperity to her land, the evil Mage Profion (Jeremy Irons) plots to depose her. But this good-vs.-evil battle is no game!",2.0,2.0
4783,11849,"The classic role-playing game comes to life in this magical adventure. The empire of Izmer is a divided land: Elite magicians called Mages rule while lowly commoners are powerless. When Empress Savina (Thora Birch) vows to bring equality and prosperity to her land, the evil Mage Profion (Jeremy Irons) plots to depose her. But this good-vs.-evil battle is no game!",2.0,2.0
4825,10577,"In the millenium version of this classic Gothic horror we find Abraham Van Helsing (Plummer), who has tangled with Count Dracula (Butler) in the past, working as an English antiques dealer. Simon (Miller) is a vampire hunter in training under his apprenticeship.",2.0,2.0
4826,10577,"In the millenium version of this classic Gothic horror we find Abraham Van Helsing (Plummer), who has tangled with Count Dracula (Butler) in the past, working as an English antiques dealer. Simon (Miller) is a vampire hunter in training under his apprenticeship.",2.0,2.0
4858,125498,"What would you wish for if you were eleven and could have anything in the world? Your parents don't understand you. Your teenage brother is constantly getting you in trouble...for things he did! You're in love with the twelve-year-old girl across the street... who, unfortunately, is dating the local bully. Then, one afternoon, while being chased by the bully, you fall into a sinkhole, which happens to be in an ancient Indian burial ground. You find a glass, which you discover turns out to be a witchdoctor's Wishing Glass. When Ryan Mitchell discovers the Wishing Glass, he wishes that all the teenagers and parents would disappear. Soon it's ""Kids World,"" with no adults and teenagers - nobody over the age of 12 anywhere! You can only imagine what happens next...  *IT'S A CANADIAN FILM*",2.0,2.0
4873,18856,"After learning that her sister, Faith (Cameron Diaz), has committed suicide in Portugal, Phoebe (Jordana Brewster), an 18-year-old hippie, decides to uproot from her San Francisco home to travel to Europe. Phoebe hopes to discover and experience the life that led to her sister's death by retracing her footsteps, which eventually leads to Wolf (Christopher Eccleston) -- Faith's boyfriend. However, as Phoebe's journey continues, a series of visions of Faith pushes her mind to the brink.",2.0,2.0
4955,37302,"Rayford Steele is an airline pilot whose relationship with his wife has gone sour;he ponders having an affair with an attractive flight attendant, Hattie Durham. In the midst of a flight to London, a number of their passengers mysteriously disappear, and chaos takes hold as a number of vehicles on the ground and in the air are suddenly unmanned. Meanwhile, Buck Williams, a television journalist, is pondering the rash of sudden disappearances as he works on a report about Dr. Chaim Rosenzweig, an Israeli scientist who has devised a formula that would make any soil on earth easy to cultivate. However, Buck wonders if there's more to Rosenzweig than he first imagined when he discovers the doctor is in cahoots with two multi-millionaires who plan to broker the invention to promote their own agenda of international domination.",2.0,2.0
4956,37302,"Rayford Steele is an airline pilot whose relationship with his wife has gone sour;he ponders having an affair with an attractive flight attendant, Hattie Durham. In the midst of a flight to London, a number of their passengers mysteriously disappear, and chaos takes hold as a number of vehicles on the ground and in the air are suddenly unmanned. Meanwhile, Buck Williams, a television journalist, is pondering the rash of sudden disappearances as he works on a report about Dr. Chaim Rosenzweig, an Israeli scientist who has devised a formula that would make any soil on earth easy to cultivate. However, Buck wonders if there's more to Rosenzweig than he first imagined when he discovers the doctor is in cahoots with two multi-millionaires who plan to broker the invention to promote their own agenda of international domination.",2.0,2.0
4957,37302,"Rayford Steele is an airline pilot whose relationship with his wife has gone sour;he ponders having an affair with an attractive flight attendant, Hattie Durham. In the midst of a flight to London, a number of their passengers mysteriously disappear, and chaos takes hold as a number of vehicles on the ground and in the air are suddenly unmanned. Meanwhile, Buck Williams, a television journalist, is pondering the rash of sudden disappearances as he works on a report about Dr. Chaim Rosenzweig, an Israeli scientist who has devised a formula that would make any soil on earth easy to cultivate. However, Buck wonders if there's more to Rosenzweig than he first imagined when he discovers the doctor is in cahoots with two multi-millionaires who plan to broker the invention to promote their own agenda of international domination.",2.0,2.0
4958,37302,"Rayford Steele is an airline pilot whose relationship with his wife has gone sour;he ponders having an affair with an attractive flight attendant, Hattie Durham. In the midst of a flight to London, a number of their passengers mysteriously disappear, and chaos takes hold as a number of vehicles on the ground and in the air are suddenly unmanned. Meanwhile, Buck Williams, a television journalist, is pondering the rash of sudden disappearances as he works on a report about Dr. Chaim Rosenzweig, an Israeli scientist who has devised a formula that would make any soil on earth easy to cultivate. However, Buck wonders if there's more to Rosenzweig than he first imagined when he discovers the doctor is in cahoots with two multi-millionaires who plan to broker the invention to promote their own agenda of international domination.",2.0,2.0
4959,10984,Five friends are stalked and murdered by a masked assailant while preparing for Valentine's Day.,2.0,2.0
4970,47588,"Under the influence of signs and premonitions, a man allows himself to veer in and out of a love affair with his colleague.",2.0,2.0
4973,16300,"After dying before his time, an aspiring comic gets a second shot at life... by being reincarnated as a wealthy but un-likable businessman.",2.0,2.0
4977,23685,"After a car crash sends repressed cartoonist Stu Miley (Fraser) into a coma, he and the mischievous Monkeybone, his hilariously horny alter-ego, wake up in a wacked-out waystation for lost souls. When Monkeybone takes over Stu's body and escapes to wreak havoc on the real world, Stu has to find a way to stop him before his sister pulls the plug on reality forever!",2.0,2.0
4981,39180,"A drug sniffing agent canine is a target for an assassin boss so the FBI calls Witness Protection to send him somewhere else. Meanwhile a single Mom puts her 6 year old boy James in the care of her irresponsible, mailman, neighbor, Gordon, when the babysitter bails on her. Meanwhile, an assassin mob boss hires 2 goons to kill Agent 11. But when 11 escapes from the van when they tried to kill him, he hides in Gordon's Mailtruck that James is in too. And guess what they name him. Spot.",2.0,2.0
4982,35569,"Former champion boxer Orlando Leone (Carmen) is ""The Preacher"" at an inner-city youth center. Wanting to give something back to the community, he bought a large building for a church youth center. But the cash ran out before he could finish fixing it up and now, the mortgage company is about to foreclose. With his bills mounting he agrees to one last fight.",2.0,2.0
5051,20309,"Boy meets girl; boy falls in love (and had wild, non-stop sex) with girl; boy loses girl... when they discover they are brother and sister! But when he learns that he's the victim of the ultimate case of mistaken identity, the lovesick young man -- whom everyone still thinks is after some taboo thrills -- must race across the country to stop her from marrying another man.",2.0,2.0
5057,10646,"College buddies chip in and promise that the group's last unmarried man will collect a cash pot. Seven years later, the kitty is worth $500,000 -- money Michael needs to pay a gambling debt. Problem is, the only other single guy is a hopeless womanizer!",2.0,2.0
5067,56715,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard.",2.0,2.0
5068,56715,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard.",2.0,2.0
5069,56715,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard.",2.0,2.0
5088,28308,"An ancient skeleton has been discovered in Jerusalem in a rich man's tomb. Colouration of the wrist and leg bones indicates the cause of death was crucifiction. other signs, include a gold coin bearing the marks of Pontius Pilate and faint markings around the skull, lead authorities to suspect that these could be the bones of Jesus Christ. Politicians, clerics, religious extremists and those using terror as a means to an end, find their beliefs and identities test while risking their lives to unearth the truth.....",2.0,2.0
5092,9290,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",2.0,2.0
5093,9290,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",2.0,2.0
5094,13166,"An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",2.0,2.0
5095,32590,"A couple checks into a suite in Las Vegas. In flashbacks we see that he's a computer whiz on the verge of becoming a dot.com millionaire, she's a lap dancer at a club. He's depressed, withdrawing from work, missing meetings with investors. He wants a connection, so he offers her $10,000 to spend three nights with him in Vegas, and she accepts with conditions. Is mutual attraction stirring?",2.0,2.0
5100,10477,"Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life.",2.0,2.0
5101,12484,A young man is in a race against time as he searches for a cure after becoming infected with a virus that will eventually turn him into a blood-sucking vampire.,2.0,2.0
5103,24113,"Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps some with his wife Ellie, others with longtime friends Mona and her husband Griffin. Deciding which direction to take often leads to unexpected encounters with hilarious consequences.",2.0,2.0
5181,11090,"When loser Marvin Mange is involved in a horrible car accident, he's brought back to life by a deranged scientist as half man and half animal. His newfound powers are awesome -- but their adverse side effects could take over his life. Now, Marvin must fight to control his crazy primal urges around his new squeeze, Rianna, and his rival, Sgt. Sisk, who both think he's one cool cat.",2.0,2.0
5182,14034,Thief Kevin Caffery attempts to rob from the home of rich businessman Max Fairbanks. But Fairbanks catches him and steals his cherished ring that his girlfriend gave him. Caffery is then bent on revenge and getting his ring back with the help of his partners.,2.0,2.0
5215,10808,"Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.",2.0,2.0
5216,10808,"Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.",2.0,2.0
5217,10808,"Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.",2.0,2.0
5218,10808,"Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.",2.0,2.0
5226,21488,"A man considers the fine line between friendship and family as he crosses France by foot. Felix is a cheerful thirty-something from Normandy who is gay and HIV-positive. Felix has never really known his father, and after he receives some old letters his dad wrote to his mother, he decides its time they talked. Figuring his father's whereabouts in Marseilles, Felix hits the road, planning on hiking cross country and meeting up with his boyfriend. Along the way, Felix's open-hearted charm allows him to make several new friends, and before long he's bonded with a number of people he's embraced as a surrogate family: an elderly woman with regrets about her life; a single mother who can't find a stable relationship; a teenager coming to terms with his sexuality; and a ""cousin"" interested in kites with whom Felix has a brief fling. As Felix moves onwards, he and his new friends ponder the notion of family -- is it defined by blood, or by your heart and soul?",2.0,2.0
5228,24470,"Valentine Casey is a Marshal in the desolate Tucson territory of the early 1900's. On Christmas Eve, his outlaw family pays him a disturbing visit. He must confront the sins of his past. He and his partner, U.S. Christmas, journey through the desert to a small town that the ruthless Henry Clan has hit in order to save Casey's love, Adelyne.",2.0,2.0
5236,40880,"Set in England during the early 19th century, Pandaemonium evokes late-1960s America in its depiction of the relationship between Samuel Taylor Coleridge (Linus Roach) and William Wordsworth (John Hannah). Instead of going to Vietnam, Wordsworth goes off to fight against the French while Coleridge stays at home and promotes utopianism. After the war, the poets live and work together with Coleridge's wife, Sara (Samantha Morton), and Wordsworth's sister, Dorothy (Emily Woof). At first this communal arrangement works to the advantage of Coleridge--who does some of his best writing while Wordsworth stagnates--until Coleridge becomes addicted to opium. Wordsworth, meanwhile, doesn't find his voice until he abandons his friend. In 20th-century vernacular, Wordsworth is the yuppie, Coleridge the hippie.",2.0,2.0
5237,10992,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.",2.0,2.0
5238,10992,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.",2.0,2.0
5242,3134,"Manu has lived a difficult life. Abused and violently raped, she sets off to find herself only to meet Nadine, a prostitute who has encountered one too many injustices in the world. Angry at the world, they embark on a twisted, rage-filled road trip. They choose to have sex when they please and kill when they need. Leaving a trail of mischief and dead bodies in their wake. Generating a media blitz and manhunt, soon everyone is out to capture the young fugitives.",2.0,2.0
5315,58904,"A young musician and singer named Johnny has been notified by a law firm that his mother, an aging rock star whom Johnny hasn't seen or heard from since he was 3 years old, has died in a helicopter accident. Johnny has been willed her castle and all of her property and money, but he must visit the actual castle to claim these things.",2.0,2.0
5564,47574,The Monkey's Mask is a 2000 thriller film directed by Samantha Lang. It stars Susie Porter and Kelly McGillis. Porter plays a lesbian private detective who falls in love with a suspect (McGillis) in the disappearance of a young woman. The film is based on the verse novel of the same name by Australian poet Dorothy Porter.,2.0,2.0
5665,9683,"Jimmy is young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom... who pines for the sweet caresses of girl-next-door Chloe. But when Chloe decides to marry her high school boyfriend, Jimmy -- bubble suit and all -- treks cross-country to stop her. Swoosie Kurtz, as Jimmy's overprotective mom, co-stars along with Fabio, who portrays the leader of a religious cult.",2.0,2.0
5668,10016,Melanie Ballard (Natasha Henstridge) is a hard nosed police chief in the year 2025. She and a police snatch squad are sent to Mars to apprehend a dangerous criminal James Williams (Ice Cube). Mars has been occupied by humans for some time and they have set up mining facilities. The mining activities on Mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. It soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the 'invaders'.,2.0,2.0
5669,26602,"A coming-of-age romantic comedy set against the backdrop of the Cape Cod Baseball League. Local boy Ryan Dunne (Freddie Prinze Jr.), now a pitcher for Boston College, meets Tenley Parrish (Jessica Biel), the daughter of a wealthy couple who summer on the Cape. Ryan and Tenley fall in love, much to the chagrin of their families, while Ryan clings to one last hope of being discovered and signed to a pro baseball contract.",2.0,2.0
